time_lst,tas,ps,hurs,sfcWind,rsds,wind_dir,dir_norm,dif_hori,dir_hori
1/1/19 0:00,9.2,101115.06,78,1.6,0.004646089,218,0,0.004646089,0
1/1/19 1:00,8.6,101148.61,77,1.6,0.041785626,207,0,0.041785626,0
1/1/19 2:00,8.3,101182.17,77,1.5,0.037448686,204,0,0.037448686,0
1/1/19 3:00,8.1,101201.54,78,1.5,0.068941341,265,0,0.068941341,0
1/1/19 4:00,7.8,101249.29,79,1.5,0.055490062,218,0,0.055490062,0
1/1/19 5:00,7.7,101282.85,78,1.5,0.042962441,207,0,0.042962441,0
1/1/19 6:00,8.2,101282.85,79,1.56,0.045272006,231,0,0.045272006,0
1/1/19 7:00,8.7,101316.41,78,1.6,0.030644326,192,0,0.030644326,0
1/1/19 8:00,10.8,101383.53,72,1.6,203,214,411.7695524,131.7523378,71.24766217
1/1/19 9:00,12.7,101383.53,65,1.5,351,253,607.3570758,151.0263853,199.9736147
1/1/19 10:00,13.8,101361.1567,58,1.3,470,95,708.7627966,152.378182,317.621818
1/1/19 11:00,15.1,101249.29,50,1.3,549,226,759.0974034,153.0725695,395.9274305
1/1/19 12:00,15.8,101249.29,45,1.4,578,190,773.3650507,156.8483607,421.1516393
1/1/19 13:00,16.5,101215.73,39,1.4,542,148,755.2485522,152.6318068,389.3681932
1/1/19 14:00,16,101201.54,40,1.4,458,100,700.0317692,152.4413165,305.5586835
1/1/19 15:00,15.2,101215.73,42,1.3,324,221,590.7794734,139.212164,184.787836
1/1/19 16:00,14.1,101215.73,42,1.3,141,36,378.1665369,83.19278985,57.80721015
1/1/19 17:00,12.6,101249.29,47,1.3,0.08540015,200,0,0.08540015,0
1/1/19 18:00,10.9,101336.38,54,1.4,0.034723068,97,0,0.034723068,0
1/1/19 19:00,10.3,101417.09,59,1.6,0.013144232,191,0,0.013144232,0
1/1/19 20:00,9.8,101484.21,63,1.7,0.063142023,204,0,0.063142023,0
1/1/19 21:00,8.9,101450.65,67,1.7,2.997191243,165,0,2.997191243,0
1/1/19 22:00,8.2,101417.09,73,1.7,0.039007893,220,0,0.039007893,0
1/1/19 23:00,7.9,101403.81,77,1.7,0.068962785,171,0,0.068962785,0
1/2/19 0:00,7.6,101450.65,83,1.680487805,0.020987204,202,0,0.020987204,0
1/2/19 1:00,7.4,101471.23,86,1.58,0.023005525,175,0,0.023005525,0
1/2/19 2:00,7.3,101504.9438,89,1.4,0.007782189,190,0,0.007782189,0
1/2/19 3:00,7.8,101584.89,92,1.4,0.00520824,20,0,0.00520824,0
1/2/19 4:00,8.3,101632.0085,95,1.4,0.08632828,97,0,0.08632828,0
1/2/19 5:00,8.7,101685.56,98,1.4,0.055691945,35,0,0.055691945,0
