time_lst,tas,ps,hurs,sfcWind,rsds,wind_dir,dir_norm,dif_hori,dir_hori
1/3/51 2:00,12.82764226,100788.0462,65.78991378,1.875143817,0.043486488,302,0,0.043486488,0
1/3/51 3:00,12.33621819,100789.6481,70.04377326,1.871116717,0.045595346,306,0,0.045595346,0
1/3/51 4:00,12.05261056,100789.5333,74.77149395,1.703988804,0.028377278,309,0,0.028377278,0
1/3/51 5:00,12.24641405,100789.314,74.82845311,1.704267568,1.998528836,306,0,1.998528836,0
1/3/51 6:00,12.82940029,100769.2986,78.53336702,1.538110746,0.034266353,308,0,0.034266353,0
1/3/51 7:00,12.99986236,100733.6526,81.0403519,1.442187882,0.048585699,300,0,0.048585699,0
1/3/51 8:00,12.92005158,100694.6502,84.41625261,1.351789692,32.21917942,306,3.838199576,31.55728052,0.661898897
1/3/51 9:00,12.8144885,100687.2,86.77420388,1.352825036,31.23416394,237,1.123726323,30.86406847,0.370095467
1/3/51 10:00,13.09959114,100663.2387,87.30810598,1.356581674,0.027401291,238,0.0004086,0.027217831,0.00018346
1/3/51 11:00,14.29019165,100624.6536,85.38209225,1.528271913,20.94172233,205,0.341004417,20.76329226,0.178430068
1/3/51 12:00,15.8392276,100652.094,77.5382243,1.789146388,119.2054757,225,5.384409908,116.2599874,2.945488284
1/3/51 13:00,17.81046116,100714.9517,69.05545153,2.237914024,245.9782786,194,50.90751986,219.569966,26.40831258
1/3/51 14:00,18.30070801,100714.4911,65.74686389,2.45115695,328.25336,235,286.9394881,201.9115488,126.3418112
1/3/51 15:00,17.71878801,100752.0911,67.91072859,2.550620882,277.6611595,204,507.9174112,116.621722,161.0394375
1/3/51 16:00,16.20921808,100719.2808,73.81306464,2.547295818,130.4849062,232,385.9637284,69.73409271,60.75081349
1/3/51 17:00,14.75287084,100711.9968,78.53237906,2.352771731,0.994533622,204,0,0.994533622,0
1/3/51 18:00,14.09735824,100725.414,81.04495747,2.347136594,2.99380702,30,0,2.99380702,0
1/3/51 19:00,14.67397692,100715.1219,80.05167887,2.34990872,0.063313183,22,0,0.063313183,0
1/3/51 20:00,15.15435496,100761.4705,78.42934215,2.362807814,0.056452602,194,0,0.056452602,0
1/3/51 21:00,14.3846063,100690.5145,80.13874732,1.61404714,0.024705159,178,0,0.024705159,0
1/3/51 22:00,13.20344238,100534.5755,87.65266402,1.157938399,0.078428864,85,0,0.078428864,0
1/3/51 23:00,12.63209468,100388.6916,91.49650892,0.757463408,0.095184164,115,0,0.095184164,0
1/4/51 0:00,12.14370068,100370.7845,93.18391081,0.654298921,2.995570044,98,0,2.995570044,0
1/4/51 1:00,11.0908561,99639.95665,100,0.344244843,0.000195695,150,0,0.000195695,0
1/4/51 2:00,13.09830732,99646.1847,100,0.394439414,0.050642726,167,0,0.050642726,0
1/4/51 3:00,11.41722437,99695.62262,100,0.487339365,0.012387898,63,0,0.012387898,0
1/4/51 4:00,10.46156406,100127.2046,100,1.248944808,0.031701894,32,0,0.031701894,0
1/4/51 5:00,10.07320585,100362.3035,100,1.702396533,0.054572675,20,0,0.054572675,0
1/4/51 6:00,10.22689686,100359.3984,93.72663692,1.95137758,0.062388668,78,0,0.062388668,0
1/4/51 7:00,11.15480957,100361.8815,89.03539077,2.454884947,0.040598306,236,0,0.040598306,0
1/4/51 8:00,12.62589299,100404.9066,80.0359943,3.016460457,116.5506033,228,197.0622551,82.59463419,33.95596911
1/4/51 9:00,14.09322043,100686.6219,55.97623154,3.263815941,245.8379323,216,287.6251292,151.0505668,94.78736546
