time_lst,tas,ps,hurs,sfcWind,rsds,huss,wind_dir,dir_norm,dif_hori,dir_hori
1/1/96 0:00,15.88748779,100849.2037,28.98998569,1.234247101,0.096140994,7.0236191,218,0,0.096140994,0
1/1/96 1:00,16.28251169,100834.9311,30.39993164,1.139843649,0.010014085,6.4958722,207,0,0.010014085,0
1/1/96 2:00,16.28318482,100813.6243,27.89864113,1.04689123,0.081863469,5.9681253,204,0,0.081863469,0
1/1/96 3:00,16.26667708,100787.9751,32.85665001,0.950119243,0.03399792,5.6889712,265,0,0.03399792,0
1/1/96 4:00,15.88628769,100622.3982,31.70410949,0.559356651,0.026247411,5.4098171,218,0,0.026247411,0
1/1/96 5:00,15.87602451,100620.3336,33.14511024,0.47660024,16.07178198,5.130663,207,0,16.07178198,0
1/1/96 6:00,16.54957969,100665.3771,42.96650416,0.467757191,0.016545393,5.306801,231,0,0.016545393,0
1/1/96 7:00,17.01008601,100728.8534,44.2221942,0.389429773,2.006380151,5.482939,192,0,2.006380151,0
1/1/96 8:00,17.62771561,100787.1455,44.1685637,0.377646715,190.8352863,5.659077,214,411.7695524,119.5876241,71.24766217
1/1/96 9:00,18.75375467,100789.1191,36.91022668,0.476118466,272.8086373,5.800630767,253,421.7714018,133.9395022,138.8691351
1/1/96 10:00,19.45396118,100811.5777,29.14323164,0.654933035,319.5360094,5.942184533,95,241.9830902,211.09478,108.4412294
1/1/96 11:00,20.23251032,100832.2756,28.95792719,0.846234277,325.9751744,6.0837383,226,144.523053,250.5953341,75.3798403
1/1/96 12:00,20.44890546,100814.0812,30.40573366,1.233243907,368.0604996,6.059430533,190,196.4790298,261.063855,106.9966446
1/1/96 13:00,20.44084266,100783.2993,32.86287486,1.238868359,395.6422055,6.035122767,148,319.9299975,230.7023791,164.9398264
1/1/96 14:00,20.01738764,100812.6329,37.72244715,1.424476723,406.5604693,6.010815,100,614.3260126,138.4117139,268.1487554
1/1/96 15:00,18.9496205,100812.8813,45.26104596,1.335000797,346.5354794,6.179008233,221,590.7794734,161.7476434,184.787836
1/1/96 16:00,17.89850728,100789.807,50.46377004,1.234866757,161.9142241,6.347201467,36,378.1665369,104.107014,57.80721015
1/1/96 17:00,17.35705606,100791.9525,55.56739438,1.233777965,0.076322269,6.5153947,200,0,0.076322269,0
1/1/96 18:00,16.82785645,100813.2847,59.91993808,1.141494404,1.000873877,5.731375467,97,0,1.000873877,0
1/1/96 19:00,16.75138688,100814.3558,59.84984645,1.140640818,0.094796635,4.947356233,191,0,0.094796635,0
1/1/96 20:00,17.00248752,100816.7811,58.70936195,1.233964787,0.030829233,4.163337,204,0,0.030829233,0
1/1/96 21:00,16.74543457,100813.7939,61.98037257,1.046682702,0.064957946,4.029857967,165,0,0.064957946,0
1/1/96 22:00,16.65785059,100823.4692,60.95835122,0.745830899,0.095335545,3.896378933,220,0,0.095335545,0
1/1/96 23:00,16.74428076,100792.8974,57.63831999,0.378342701,0.095373265,3.7628999,171,0,0.095373265,0
1/2/96 0:00,16.73753052,100815.4647,59.90009116,0.746555572,0.072468771,3.846760133,202,0,0.072468771,0
1/2/96 1:00,17.01603219,100815.7232,59.85743852,1.047440073,0.028062989,3.930620367,175,0,0.028062989,0
1/2/96 2:00,17.10018946,100832.3166,55.51904634,1.330817173,0.043145332,4.0144806,190,0,0.043145332,0
1/2/96 3:00,17.17153309,100832.0197,56.70731698,1.235353693,2.005769624,4.035926067,20,0,2.005769624,0
1/2/96 4:00,17.01518888,100842.2811,59.78584543,1.235409368,0.038797774,4.057371533,97,0,0.038797774,0
1/2/96 5:00,16.74459227,100851.077,62.74562167,1.236340892,0.005449391,4.078817,35,0,0.005449391,0
1/2/96 6:00,16.17615988,100840.746,73.51873055,1.141069431,3.012004631,4.697667333,142,0,3.012004631,0
1/2/96 7:00,15.7911677,100814.5482,78.32392414,1.137756782,0.027792456,5.316517667,74,0,0.027792456,0
1/2/96 8:00,15.78994796,100792.5337,83.03423837,1.045749918,35.22686273,5.935368,219,4.640876903,34.42543175,0.801430984
1/2/96 9:00,16.2643474,100815.1625,83.04530232,1.232492002,42.21186961,6.483965,226,1.855793913,41.6008554,0.611014208
1/2/96 10:00,17.00900697,100874.9216,80.13211248,1.334008451,48.72214521,7.032562,192,1.398295681,48.09499259,0.627152618
1/2/96 11:00,17.54224909,100927.6296,82.17396074,1.598435799,51.54387067,7.581159,211,1.196481164,50.91887928,0.624991394
1/2/96 12:00,17.90322378,100933.2598,82.12288961,1.767566532,50.2451968,7.393586233,221,1.072896212,49.65966201,0.585534785
1/2/96 13:00,18.00758714,100909.0582,83.06639029,1.857816428,45.92462412,7.206013467,196,1.014938912,45.39980032,0.524823795
1/2/96 14:00,18.00943865,100909.7429,85.05653158,2.013683068,38.61313025,7.0184407,150,1.002275468,38.17378025,0.439350003
1/2/96 15:00,18.34723813,100950.1382,83.09167633,2.207442891,36.52722259,7.042548333,202,1.56072689,36.03578257,0.49144002
1/2/96 16:00,18.84283246,101041.7233,81.13402586,2.384395872,31.01946282,7.066655967,201,4.443824979,30.3302585,0.689204319
1/2/96 17:00,19.27374694,101068.9779,77.3287675,2.665398869,0.06429027,7.0907636,231,0,0.06429027,0
1/2/96 18:00,19.17905525,101070.3336,78.20314579,2.664976531,0.095878588,7.2915054,197,0,0.095878588,0
1/2/96 19:00,19.27333581,101070.0217,77.347134,2.666521179,0.053710904,7.4922472,213,0,0.053710904,0
1/2/96 20:00,18.93598993,101070.768,80.09434792,2.583379437,0.072411874,7.692989,198,0,0.072411874,0
1/2/96 21:00,18.53765316,101014.2164,82.2001894,2.303654926,0.017412413,7.960988667,245,0,0.017412413,0
1/2/96 22:00,18.34673489,100956.7247,82.20280884,1.939182896,0.032032438,8.228988333,222,0,0.032032438,0
1/2/96 23:00,17.90063783,100929.5388,85.09787024,1.602405342,3.011326393,8.496988,323,0,3.011326393,0
1/3/96 0:00,18.09768518,100909.7902,83.02865485,1.769092093,0.079001503,8.753163333,299,0,0.079001503,0
1/3/96 1:00,18.16648698,100968.4622,82.17270247,2.014731309,0.036355277,9.009338667,305,0,0.036355277,0
1/3/96 2:00,18.26286419,101009.741,81.16450858,2.301773442,0.032542409,9.265514,302,0,0.032542409,0
1/3/96 3:00,18.16239752,100983.8236,81.19350109,2.016586016,0.075842892,9.262723333,306,0,0.075842892,0
1/3/96 4:00,17.62754092,100955.6736,84.95132029,1.768259146,0.999115541,9.259932667,309,0,0.999115541,0
1/3/96 5:00,17.25578179,101010.9317,86.12354379,1.598453048,0.034711402,9.257142,306,0,0.034711402,0
1/3/96 6:00,17.54496103,101013.7796,84.02880195,1.766486536,0.090767921,10.30854733,308,0,0.090767921,0
1/3/96 7:00,17.44617611,101036.3237,81.23174394,1.857557219,0.042087117,11.35995267,300,0,0.042087117,0
1/3/96 8:00,17.6347168,101009.9876,80.07093113,2.10773589,30.17236153,12.411358,306,3.348991635,29.59482672,0.577534812
1/3/96 9:00,17.35844064,101013.1596,82.1897163,2.206554747,33.80314929,11.632702,237,1.274464527,33.38340871,0.419740585
1/3/96 10:00,16.83460936,100955.6997,86.10531192,2.018359997,37.04216824,10.854046,238,0.907702239,36.63461234,0.407555901
1/3/96 11:00,16.83589377,100924.7577,87.06218524,2.104742459,41.46239689,10.07539,205,0.854923617,41.01505934,0.447337545
1/3/96 12:00,16.92391097,100879.8032,87.94415955,2.298371134,41.2803184,9.865477667,225,0.795858328,40.84495196,0.435366441
1/3/96 13:00,17.09807723,100876.1273,86.13491092,2.476136899,36.41179693,9.655565333,194,0.717181646,36.03975843,0.372038495
1/3/96 14:00,17.25466456,100866.5004,86.10449648,2.485562868,34.66997361,9.445653,235,0.846977366,34.29704253,0.372931085
1/3/96 15:00,17.69697536,100864.632,84.05191419,2.574154983,34.33001833,9.409009667,204,1.390776239,33.88906116,0.440957168
1/3/96 16:00,17.63894138,100833.0505,84.05762127,2.475793522,40,9.372366333,232,7.778319739,38.77569,1.224309998
1/3/96 17:00,18.00792236,100852.2123,83.08071951,2.478952642,0.024921452,9.335723,204,0,0.024921452,0
1/3/96 18:00,17.54533692,100780.8143,87.9149653,1.944077019,0.044192954,9.520762333,30,0,0.044192954,0
1/3/96 19:00,17.09877694,100646.5497,92.97494079,1.601287664,0.008491773,9.705801667,22,0,0.008491773,0
1/3/96 20:00,17.25587463,100569.7056,91.21296857,1.239369405,0.074973595,9.890841,194,0,0.074973595,0
1/3/96 21:00,18.16835405,100647.2014,89.49077075,1.680673637,0.059285845,9.826512333,178,0,0.059285845,0
1/3/96 22:00,19.27620951,100789.5367,86.98955993,2.107911721,16.05900894,9.762183667,85,0,16.05900894,0
1/3/96 23:00,19.45576259,100861.3085,84.95156305,2.581855686,0.083382723,9.697855,115,0,0.083382723,0
1/4/96 0:00,19.70310289,100833.8598,83.16919462,2.298303198,0.093958454,9.369229667,98,0,0.093958454,0
1/4/96 1:00,19.36065355,100734.0091,84.02611979,1.94633158,0.060411127,9.040604333,150,0,0.060411127,0
1/4/96 2:00,18.44650873,100654.6409,87.65234991,1.608769271,0.059262114,8.711979,167,0,0.059262114,0
1/4/96 3:00,17.70838831,100704.0033,90.29431045,1.597067229,0.009371059,8.397389167,63,0,0.009371059,0
